railtime_id,hafas_id,stop_area_names@nl,stop_area_names@fr,stop_area_names@en,dbpedia_uris,lon,lat
13,008892338,De Panne,De Panne,De Panne,http://live.dbpedia.org/resource/De_Panne,2.601966,51.077398
130,008894151,Beervelde,Beervelde,Beervelde,http://live.dbpedia.org/resource/Beervelde,3.879383,51.087527
132,008821865,Begijnendijk,Begijnendijk,Begijnendijk,http://live.dbpedia.org/resource/Begijnendijk,4.80034,51.02197
133,008871183,Beignée,Beignée,Beignée,http://live.dbpedia.org/resource/Beignée,4.406305,50.333893
1348,008832235,Beringen,Beringen,Beringen,http://live.dbpedia.org/resource/Beringen,5.23589,51.0506
1350,008832334,Zonhoven,Zonhoven,Zonhoven,http://live.dbpedia.org/resource/Zonhoven,5.348813,50.98956
136,008891157,Bellem,Bellem,Bellem,http://live.dbpedia.org/resource/Bellem,3.48737,51.08391
138,008894433,Belsele,Belsele,Belsele,http://live.dbpedia.org/resource/Belsele,4.08861,51.150993
139,008821121,Antwerpen-Berchem,Antwerpen-Berchem,Antwerpen-Berchem,http://live.dbpedia.org/resource/Antwerpen-Berchem,4.432219,51.199228
142,008821816,Berlaar,Berlaar,Berlaar,http://live.dbpedia.org/resource/Berlaar,4.638808,51.113659
143,008832227,Beverlo,Beverlo,Beverlo,http://live.dbpedia.org/resource/Beverlo,5.234375,51.087724
146,008865300,Bertrix,Bertrix,Bertrix,http://live.dbpedia.org/resource/Bertrix,5.267189,49.852833
147,008873320,Berzée,Berzée,Berzée,http://live.dbpedia.org/resource/Berzée,4.405909,50.285603
